table,name,key,title,description,comments,example,type,format,unique,required,minimum,maximum,namespace,dcterms:isVersionOf,dcterms:references,rdfs:comment,status,new,ignore
material-assertion,materialEntityID,fk,Material Entity ID,An identifier for a dwc:MaterialEntity.,"Values of dwc:materialEntityID are intended to uniquely and persistently identify a particular dwc:MaterialEntity within some context. Examples of context include a particular sample collection, an organization, or the worldwide scale. Recommended best practice is to use a persistent, globally unique identifier. The identifier is bound to a physical object (a dwc:MaterialEntity) as opposed to a particular digital record (representation) of that physical object.",,string,default,FALSE,TRUE,,,dwc,http://rs.tdwg.org/dwc/terms/materialEntityID,http://rs.tdwg.org/dwc/terms/version/materialEntityID-2023-09-13,An identifier for a particular instance of a dwc:MaterialEntity.,recommended,FALSE,TRUE
material-assertion,assertionID,pk,Assertion ID,An identifier for a dwc:Assertion.,Recommended best practice is to use a globally unique identifier.,,string,default,TRUE,FALSE,,,dwc,,,,recommended,TRUE,FALSE
material-assertion,verbatimAssertionType,,Verbatim Assertion Type,A string representing the type of dwc:Assertion as it appeared in the original record.,"This term is meant to allow the capture of an unaltered original name for a dwc:assertionType. This term is meant to be used in addition to dwc:assertionType, not instead of it.",`water_temp`; `Fish biomass`; `sampling net mesh size`,string,default,,,,,dwc,,,,recommended,TRUE,FALSE
material-assertion,assertionType,,Assertion Type,A category that best matches the nature of a dwc:Assertion.,"Recommended best practice is to use a controlled vocabulary. This term has an equivalent in the dwciri: namespace that allows only an IRI as a value, whereas this term allows for any string literal value.",`tail length`; `temperature`; `trap line length`; `survey area`; `trap type`,string,default,,,,,dwc,,,,recommended,TRUE,FALSE
material-assertion,assertionTypeIRI,,Assertion Type (IRI),An IRI of a controlled vocabulary value for a type of dwc:Assertion.,Recommended best practice is to use an IRI for a term in a controlled vocabulary.,,string,default,,,,,dwciri,,,,recommended,TRUE,FALSE
material-assertion,assertionTypeSource,,Assertion Type Source,A reference to the controlled vocabulary in which the definition of a value in dwc:assertionType is given.,,,string,default,,,,,dc,http://purl.org/dc/elements/1.1/source,,A related resource from which the described resource is derived.,recommended,FALSE,TRUE
material-assertion,assertionMadeDate,,Assertion Made Date,A date on which a dwc:Assertion was created.,Recommended best practice is to use a date that conforms to ISO 8601-1:2019.,`1963-03-08T14:07-06:00` (8 Mar 1963 at or after 2:07pm and before 2:08pm in the time zone six hours earlier than UTC); `2009-02-20T08:40Z` (20 February 2009 at or after 8:40am and before 8:41 UTC); `2018-08-29T15:19` (29 August 2018 at or after 3:19pm and before 3:20pm local time); `1809-02-12` (within the day 12 February 1809); `1906-06` (in the month of June 1906); `1971` (in the year 1971); `2007-03-01T13:00:00Z/2008-05-11T15:30:00Z` (some time within the interval beginning 1 March 2007 at 1pm UTC and before 11 May 2008 at 3:30pm UTC); `1900/1909` (some time within the interval between the beginning of the year 1900 and before the year 1909); `2007-11-13/15` (some time in the interval between the beginning of 13 November 2007 and before 15 November 2007),string,default,,,,,dwc,,,,recommended,TRUE,FALSE
material-assertion,assertionEffectiveDate,,Assertion Effective Date,A date on which a state or measurement of a dwc:Assertion was deemed to first be in effect.,Recommended best practice is to use a date that conforms to ISO 8601-1:2019.,`1963-03-08T14:07-06:00` (8 Mar 1963 at or after 2:07pm and before 2:08pm in the time zone six hours earlier than UTC); `2009-02-20T08:40Z` (20 February 2009 at or after 8:40am and before 8:41 UTC); `2018-08-29T15:19` (29 August 2018 at or after 3:19pm and before 3:20pm local time); `1809-02-12` (within the day 12 February 1809); `1906-06` (in the month of June 1906); `1971` (in the year 1971); `2007-03-01T13:00:00Z/2008-05-11T15:30:00Z` (some time within the interval beginning 1 March 2007 at 1pm UTC and before 11 May 2008 at 3:30pm UTC); `1900/1909` (some time within the interval between the beginning of the year 1900 and before the year 1909); `2007-11-13/15` (some time in the interval between the beginning of 13 November 2007 and before 15 November 2007),string,default,,,,,dwc,,,,recommended,TRUE,FALSE
material-assertion,assertionValue,,Assertion Value,"An asserted value, if it is not numeric.",,,string,default,,,,,dwc,,,,recommended,TRUE,FALSE
material-assertion,assertionValueIRI,,Assertion Value (IRI),An IRI of the controlled vocabulary value for a value of a dwc:Assertion.,Recommended best practice is to use an IRI for a term in a controlled vocabulary.,,string,default,,,,,dwciri,,,,recommended,TRUE,FALSE
material-assertion,assertionValueSource,,Assertion Value Source,A reference to a controlled vocabulary in which the definition of a value in dwc:assertionValue is given.,,,string,default,,,,,dc,http://purl.org/dc/elements/1.1/source,,A related resource from which the described resource is derived.,recommended,FALSE,TRUE
material-assertion,assertionValueNumeric,,Assertion Value Numeric,"An asserted value, if it is numeric.",,,number,default,,,,,dwc,,,,recommended,TRUE,FALSE
material-assertion,assertionUnit,,Assertion Unit,Unit associated with the value in dwc:assertionValue or dwc:assertionValueNumeric.,"Recommended best practice is to use a controlled vocabulary such as the Ontology of Units of Measure http://www.wurvoc.org/vocabularies/om-1.8/ of SI units, derived units, or other non-SI units accepted for use within the SI. For units that are composed of multiple parts, use the patterns as given in ""A Primer for Communicating Mathematics via Plain Text"" (https://cse.sc.edu/~fenner/latex-ASCII.pdf) by Stephen Fenner (e.g., `g/cm^3` for grams per cubic centimeter). For other units, provide the value as a recognizable standard (e.g., '%') or written out in full and in the plural (e.g., `individuals`). It is fine to provide non-SI units in the original language of the dataset.",`m`; `s`; `g`; `ml`,string,default,,,,,dwc,,,,recommended,TRUE,FALSE
material-assertion,assertionUnitIRI,,Assertion Unit (IRI),An IRI of a controlled vocabulary value for the unit of a dwc:assertionValue or a dwc:assertionValueNumeric.,Recommended best practice is to use an IRI for a term in a controlled vocabulary.,,string,default,,,,,dwciri,,,,recommended,TRUE,FALSE
material-assertion,assertionUnitSource,,Assertion Unit Source,A reference to a controlled vocabulary in which the definition of the value in dwc:assertionUnit is given.,,,string,default,,,,,dc,http://purl.org/dc/elements/1.1/source,,A related resource from which the described resource is derived.,recommended,FALSE,TRUE
material-assertion,assertionError,,Assertion Error,The description of the potential error associated with dwc:assertionValueNumeric.,,`0.01`; `normal distribution with variation of 2 m`,string,default,,,,,dwc,,,,recommended,TRUE,FALSE
material-assertion,assertionBy,,Assertion By,A list (concatenated and separated) of names of dcterms:Agents responsible for making a dwc:Assertion.,Recommended best practice is to separate the values in a list with space vertical bar space (` | `).,,string,default,,,,,dwc,,,,recommended,TRUE,FALSE
material-assertion,assertionByID,fk,Assertion By ID,An identifier for a dcterms:Agent responsible for making a dwc:Assertion.,Recommended best practice is to use a globally unique identifier.,,string,default,FALSE,FALSE,,,dwciri,,,,recommended,TRUE,FALSE
material-assertion,assertionProtocols,,Assertion Protocols,"Names of, references to, or descriptions of dwc:Protocols used in making a dwc:Assertion.",,,string,default,,,,,dwc,,,,recommended,TRUE,FALSE
material-assertion,assertionProtocolID,fk,Assertion Protocol ID,An identifier for a dwc:Protocol used to make a dwc:Assertion.,,,string,default,FALSE,FALSE,,,dwciri,,,,recommended,TRUE,FALSE
material-assertion,assertionReferences,,Assertion References,A list (concatenated and separated) of dcterms:BibliographicResources associated with a dwc:Assertion.,Recommended best practice is to separate the values in a list with space vertical bar space (` | `).,,string,default,,,,,dwc,,,,recommended,TRUE,FALSE
material-assertion,assertionRemarks,,Assertion Remarks,Comments or notes about a dwc:Assertion.,,,string,default,,,,,dwc,,,,recommended,TRUE,FALSE
